@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R2,5,8,11,13,16,18'

@attribute over_draft {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute Average_Credit_Balance {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,'critical/other existing credit',radio/tv,'no known savings',>=7,'male single',none,'real estate',none,own,skilled,yes,yes,good
0<=X<200,'existing paid',radio/tv,<100,1<=X<4,'female div/dep/mar',none,'real estate',none,own,skilled,none,yes,bad
'no checking','critical/other existing credit',education,<100,4<=X<7,'male single',none,'real estate',none,own,'unskilled resident',none,yes,good
<0,'existing paid',furniture/equipment,<100,4<=X<7,'male single',guarantor,'life insurance',none,'for free',skilled,none,yes,good
<0,'delayed previously','new car',<100,1<=X<4,'male single',none,'no known property',none,'for free',skilled,none,yes,bad
'no checking','existing paid',education,'no known savings',1<=X<4,'male single',none,'no known property',none,'for free','unskilled resident',yes,yes,good
'no checking','existing paid',furniture/equipment,500<=X<1000,>=7,'male single',none,'life insurance',none,own,skilled,none,yes,good
0<=X<200,'existing paid','used car',<100,1<=X<4,'male single',none,car,none,rent,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid',radio/tv,>=1000,4<=X<7,'male div/sep',none,'real estate',none,own,'unskilled resident',none,yes,good
0<=X<200,'critical/other existing credit','new car',<100,unemployed,'male mar/wid',none,car,none,own,'high qualif/self emp/mgmt',none,yes,bad
0<=X<200,'existing paid','new car',<100,<1,'female div/dep/mar',none,car,none,rent,skilled,none,yes,bad
<0,'existing paid',business,<100,<1,'female div/dep/mar',none,'life insurance',none,rent,skilled,none,yes,bad
0<=X<200,'existing paid',radio/tv,<100,1<=X<4,'female div/dep/mar',none,car,none,own,skilled,yes,yes,good
<0,'critical/other existing credit','new car',<100,>=7,'male single',none,car,none,own,'unskilled resident',none,yes,bad
<0,'existing paid','new car',<100,1<=X<4,'female div/dep/mar',none,car,none,rent,skilled,none,yes,good
<0,'existing paid',radio/tv,100<=X<500,1<=X<4,'female div/dep/mar',none,car,none,own,'unskilled resident',none,yes,bad
'no checking','critical/other existing credit',radio/tv,'no known savings',>=7,'male single',none,'life insurance',none,own,skilled,none,yes,good
<0,'no credits/all paid',business,'no known savings',<1,'male single',none,car,bank,own,skilled,none,yes,good
0<=X<200,'existing paid','used car',<100,>=7,'female div/dep/mar',none,'no known property',none,'for free','high qualif/self emp/mgmt',yes,yes,bad
'no checking','existing paid',radio/tv,500<=X<1000,>=7,'male single',none,car,none,own,skilled,yes,yes,good
'no checking','critical/other existing credit','new car',<100,1<=X<4,'male single',none,car,none,own,skilled,yes,yes,good
<0,'existing paid',radio/tv,500<=X<1000,1<=X<4,'male single',none,'real estate',none,rent,skilled,none,yes,good
<0,'critical/other existing credit','new car',<100,<1,'male single',none,'real estate',none,rent,'unskilled resident',none,no,good
0<=X<200,'critical/other existing credit','used car',100<=X<500,<1,'male single',none,'life insurance',none,own,skilled,none,yes,good
'no checking','critical/other existing credit',furniture/equipment,'no known savings',1<=X<4,'male mar/wid',none,car,none,own,skilled,none,no,good
<0,'existing paid',furniture/equipment,<100,1<=X<4,'male single',none,'real estate',bank,own,'unskilled resident',yes,yes,good
'no checking','no credits/all paid',radio/tv,<100,>=7,'male mar/wid',none,car,none,own,'unskilled resident',none,yes,good
>=200,'all paid',radio/tv,>=1000,1<=X<4,'female div/dep/mar',none,'real estate',none,rent,skilled,none,yes,good
0<=X<200,'existing paid',radio/tv,<100,1<=X<4,'male single',guarantor,'real estate',none,own,skilled,none,yes,good
<0,'delayed previously',business,<100,>=7,'male single',none,'no known property',none,own,skilled,yes,yes,bad
0<=X<200,'existing paid',business,>=1000,<1,'male mar/wid',none,'real estate',bank,own,skilled,yes,yes,good
<0,'existing paid',furniture/equipment,<100,1<=X<4,'male single',none,car,stores,own,skilled,none,yes,good
0<=X<200,'existing paid','new car',100<=X<500,1<=X<4,'male single',none,car,none,own,skilled,yes,yes,good
'no checking','critical/other existing credit',business,'no known savings',>=7,'male single',none,'no known property',none,rent,'unskilled resident',none,yes,good
>=200,'existing paid',furniture/equipment,<100,<1,'female div/dep/mar',none,'life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,good
0<=X<200,'critical/other existing credit',radio/tv,<100,<1,'male single',none,'life insurance',none,own,'unskilled resident',none,yes,bad
'no checking','critical/other existing credit',education,<100,1<=X<4,'male single',none,'no known property',bank,'for free',skilled,yes,yes,good
>=200,'existing paid',radio/tv,<100,1<=X<4,'male single','co applicant','real estate',stores,own,skilled,none,yes,bad
>=200,'existing paid','domestic appliance',<100,1<=X<4,'male single',none,car,none,own,skilled,yes,yes,good
0<=X<200,'existing paid',radio/tv,<100,1<=X<4,'male single',none,'real estate',none,own,skilled,none,yes,good
'no checking','existing paid',radio/tv,500<=X<1000,>=7,'male single',none,car,bank,own,'high qualif/self emp/mgmt',none,yes,good
0<=X<200,'existing paid',radio/tv,500<=X<1000,1<=X<4,'male div/sep',none,car,none,own,skilled,yes,yes,good
0<=X<200,'delayed previously',repairs,<100,1<=X<4,'male single',none,'real estate',none,own,'unskilled resident',yes,yes,good
<0,'critical/other existing credit','used car',100<=X<500,4<=X<7,'male mar/wid',none,car,none,rent,skilled,none,yes,good
<0,'critical/other existing credit','used car',<100,>=7,'female div/dep/mar',none,'no known property',stores,'for free','unskilled resident',none,yes,bad
'no checking','critical/other existing credit','new car',<100,<1,'female div/dep/mar',none,car,none,own,'high qualif/self emp/mgmt',none,yes,good
'no checking','existing paid',radio/tv,500<=X<1000,>=7,'male single',none,car,none,own,skilled,none,yes,good
<0,'existing paid','used car',500<=X<1000,unemployed,'female div/dep/mar',none,'life insurance',none,rent,'unemp/unskilled non res',yes,yes,good
