@relation testset
@attribute over_draft {'<0','0<=X<200','>=200','no checking'}
@attribute credit_usage numeric
@attribute credit_history {'all paid','critical/other existing credit','delayed previously','existing paid','no credits/all paid'}
@attribute purpose {'business','domestic appliance','education','furniture/equipment','new car','other','radio/tv','repairs','retraining','used car'}
@attribute current_balance numeric
@attribute Average_Credit_Balance {'<100','>=1000','100<=X<500','500<=X<1000','no known savings'}
@attribute employment {'<1','1<=X<4','4<=X<7','>=7','unemployed'}
@attribute location numeric
@attribute personal_status {'female div/dep/mar','male div/sep','male mar/wid','male single'}
@attribute other_parties {'co applicant','guarantor','none'}
@attribute residence_since numeric
@attribute property_magnitude {'car','life insurance','no known property','real estate'}
@attribute cc_age numeric
@attribute other_payment_plans {'bank','none','stores'}
@attribute housing {'for free','own','rent'}
@attribute existing_credits numeric
@attribute job {'high qualif/self emp/mgmt','skilled','unemp/unskilled non res','unskilled resident'}
@attribute num_dependents numeric
@attribute own_telephone {'none','yes'}
@attribute foreign_worker {'no','yes'}
@attribute class {'bad','good'}
@data
'<0',24,'delayed previously','new car',4870,'<100','1<=X<4',3,'male single','none',4,'no known property',53,'none','for free',2,'skilled',2,'none','yes','bad'
'no checking',24,'existing paid','radio/tv',1278,'<100','>=7',4,'male single','none',1,'real estate',36,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',24,'existing paid','radio/tv',1987,'<100','1<=X<4',2,'male single','none',4,'real estate',21,'none','rent',1,'unskilled resident',2,'none','yes','bad'
'no checking',18,'critical/other existing credit','radio/tv',629,'500<=X<1000','>=7',4,'male single','none',3,'life insurance',32,'bank','own',2,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',12,'existing paid','furniture/equipment',2578,'<100','unemployed',3,'female div/dep/mar','none',4,'no known property',55,'none','for free',1,'high qualif/self emp/mgmt',1,'none','yes','good'
'no checking',20,'critical/other existing credit','new car',3485,'no known savings','<1',2,'male div/sep','none',4,'real estate',44,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',21,'existing paid','furniture/equipment',2241,'<100','>=7',4,'male single','none',2,'real estate',50,'none','own',2,'skilled',1,'none','yes','good'
'<0',15,'no credits/all paid','new car',950,'<100','>=7',4,'male single','none',3,'car',33,'none','rent',2,'skilled',2,'none','yes','bad'
'no checking',21,'existing paid','new car',2782,'500<=X<1000','4<=X<7',1,'female div/dep/mar','none',2,'car',31,'bank','own',1,'high qualif/self emp/mgmt',1,'none','yes','good'
'0<=X<200',48,'existing paid','new car',8487,'no known savings','4<=X<7',1,'female div/dep/mar','none',2,'car',24,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',18,'critical/other existing credit','furniture/equipment',6361,'<100','>=7',2,'male single','none',1,'no known property',41,'none','own',1,'skilled',1,'yes','yes','good'
'<0',24,'existing paid','furniture/equipment',4169,'<100','1<=X<4',4,'male single','none',4,'life insurance',28,'none','own',1,'skilled',1,'none','yes','good'
'no checking',13,'existing paid','radio/tv',1409,'100<=X<500','unemployed',2,'female div/dep/mar','none',4,'real estate',64,'none','own',1,'skilled',1,'none','yes','good'
'no checking',18,'existing paid','radio/tv',1453,'<100','<1',3,'female div/dep/mar','none',1,'real estate',26,'none','own',1,'skilled',1,'none','yes','good'
'no checking',24,'existing paid','new car',1249,'<100','<1',4,'male mar/wid','none',2,'real estate',28,'none','own',1,'skilled',1,'none','yes','good'
'no checking',24,'existing paid','used car',5433,'no known savings','unemployed',2,'female div/dep/mar','none',4,'life insurance',26,'none','rent',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'0<=X<200',14,'existing paid','business',1410,'500<=X<1000','>=7',1,'male mar/wid','none',2,'real estate',35,'none','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',18,'existing paid','used car',2779,'<100','1<=X<4',1,'male mar/wid','none',3,'car',21,'none','rent',1,'skilled',1,'yes','yes','good'
'<0',36,'existing paid','other',15857,'<100','unemployed',2,'male div/sep','co applicant',3,'car',43,'none','own',1,'high qualif/self emp/mgmt',1,'none','yes','good'
'0<=X<200',24,'delayed previously','business',6967,'100<=X<500','4<=X<7',4,'male single','none',4,'car',36,'none','rent',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',27,'no credits/all paid','business',5293,'<100','unemployed',2,'male single','none',4,'life insurance',50,'stores','own',2,'skilled',1,'yes','yes','bad'
'0<=X<200',24,'existing paid','used car',4113,'500<=X<1000','<1',3,'female div/dep/mar','none',4,'car',28,'none','rent',1,'skilled',1,'none','yes','bad'
'<0',24,'critical/other existing credit','new car',1199,'<100','>=7',4,'male single','none',4,'car',60,'none','own',2,'unskilled resident',1,'none','yes','bad'
'no checking',12,'existing paid','radio/tv',2073,'100<=X<500','1<=X<4',4,'female div/dep/mar','co applicant',2,'real estate',28,'none','own',1,'skilled',1,'none','yes','good'
'>=200',15,'existing paid','radio/tv',2327,'<100','<1',2,'female div/dep/mar','none',3,'real estate',25,'none','own',1,'unskilled resident',1,'none','yes','bad'
'0<=X<200',9,'all paid','new car',1437,'100<=X<500','4<=X<7',2,'male single','none',3,'no known property',29,'none','own',1,'skilled',1,'none','yes','bad'
'no checking',18,'existing paid','new car',1820,'<100','1<=X<4',2,'male mar/wid','none',2,'life insurance',30,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',9,'existing paid','furniture/equipment',1980,'<100','<1',2,'female div/dep/mar','co applicant',2,'car',19,'none','rent',2,'skilled',1,'none','yes','bad'
'>=200',9,'no credits/all paid','radio/tv',1337,'<100','<1',4,'male single','none',2,'car',34,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','bad'
